,oocyte,2cell,4cell,8cell,morula
IAPEz-int,-1.56648807318114,-1.52748430050282,-0.118771355281281,0.377204012892924,0.554240301236726
L1Md_F2,-0.115600563532218,-0.470033685349496,-1.21081378635678,-2.11686450936669,-1.24712241951702
B1_Mus2,0.0859906666296206,1.12662872521329,1.52079135964689,1.4121488916209,1.36159632908003
B1_Mm,0.0918177914571168,1.08065796275811,1.62636769152625,1.82525426461914,1.53097210177605
B1_Mus1,0.0890198183270148,0.953035225169434,1.08360342774337,0.719773866771497,0.823745232830306
RLTR45-int,0.097117804319153,0.0794070405678075,2.19862878073385,3.53983593684737,2.6013941609555
L1Md_T,-0.0802430726579159,-0.172813164412019,0.321416880622239,0.343463302697702,0.326304875105402
MTA_Mm,0.389535976751764,0.0497104510957659,-1.05310571944014,-1.09067697508949,-0.869787107392215
B4A,0.00284675440397894,-0.0393981287535352,-0.487787265261743,-0.904358608964729,-0.56337393190017
B3,0.121333400619337,0.243348190579525,-0.0758305160377807,-0.542100329913707,-0.13653679904795
L1_Mus3,-0.0787499735820876,-0.448550659896629,-0.990242177068956,-1.61933413821436,-0.946810839213127
RLTR13C2,0.231172703304726,0.136286400974988,2.15822189430108,3.62548377030908,3.33765256899181
L1Md_Gf,-0.0989268632002122,-0.0618426379997324,1.3361412570517,2.43345230275197,1.29088490709964
MTA_Mm-int,0.467190487897397,0.071588741521619,-1.1606728054623,-1.6251199680237,-1.3398141133736
PB1D9,0.0557388085969882,0.633478941889858,1.2191489514827,1.37480465794966,1.14078081781278
MT2_Mm,0.466228991722688,2.1215085639966,2.54516940501319,2.82328860922826,2.55780373233921
L1_Mus1,-0.0931169270974896,-0.39329614217903,-0.935187485764826,-1.37971019202054,-0.815769077109308
B1_Mur4,0.109165110003609,0.791381645134072,1.03679594410821,1.04436830652934,0.906800323827381
Lx3_Mus,0.0716308204514352,-0.280912245286976,-1.06358379166488,-1.63612316307792,-0.937748213155167
MMETn-int,0.277854786117516,-0.0402864218409037,0.564012268662809,2.28983896212588,1.87479983762509
ID_B1,0.1561184927725,0.44426240411601,0.391173149876031,-0.106883239722165,0.255507273247821
RLTR13B1,0.358153932446693,-0.447587024299163,1.69917083865521,2.7843688213807,2.53365208964987
RLTR13B2,0.559736691245996,0.457634900347802,3.18871481714994,4.39956420436583,3.48191498550889
LTRIS2,-0.15938939234812,-0.401776390344097,0.071281514101684,1.54520229270259,1.96984598952958
MT2C_Mm,0.0424402142195273,1.66422806913784,2.422899975126,2.13369559580588,1.55816770372403
MMERVK9C_I-int,-0.0158640234176357,-0.184968287592107,0.369714903030381,1.93999462460998,1.51049737140488
Lx8,0.0213357195278636,-0.250392898080508,-0.623991454647034,-0.855405082171094,-0.595850563513286
B1_Mur3,0.125949363142497,0.754113310398776,1.07630885507821,1.24822614047433,0.998432803732577
RLTR4_MM-int,-0.342276688645261,0.443795836279293,1.16345899906224,2.16184885294898,1.41749411572954
MT2B,0.103225429786378,0.736039256756524,1.27314447578251,1.51144414110112,1.15177739135978
B1_Mur2,0.117991382097019,0.624402814978251,0.983596905256294,1.08996309974532,0.900465633527317
MTB,0.369120716371163,0.170265131008469,-0.765432744820464,-0.945302563406639,-0.818656440455704
IAPLTR1_Mm,-1.26163127820236,-0.555659909064543,0.962633614350933,1.14277751199953,1.21241689796101
ORR1A2-int,-0.00133743808588088,0.800987050311564,1.41892919911844,1.68536604348504,1.16417716925641
Lx,-0.124511360247239,-0.394382031540775,-0.914900222925866,-1.31575114044579,-0.833903940180631
IAPLTR1a_Mm,-1.71715733279627,-1.25834606048218,0.0662546024387752,0.197258918940152,0.874502770611887
ORR1A0,-0.06239716155342,0.636896556748106,1.03299108634999,1.56134135428138,2.07061562854699
PB1D7,0.104902492173654,0.433387288390722,0.941425435215771,1.12200694945399,0.895597570761358
RLTR6-int,-1.11239987544692,-0.686779069513545,-0.231514540591179,0.208111885622185,0.12161895132839
MTD,0.0773766890996967,-0.0880375604985044,-0.449017283153932,-0.493410072917018,-0.341396111806015
B1_Mur1,0.110487265592346,0.552280614672488,0.840877495271572,0.912395822601713,0.774649635921911
IAPLTR2_Mm,-1.19299327176999,-0.874365690916811,0.762669897251985,0.978262243275409,0.930927734285252
RLTR45,-0.0491879930549371,0.207793708900804,1.60718414686572,1.85101770814684,1.68062369610814
L1_Mus2,-0.0743387846388952,-0.478809849067122,-0.856176170499625,-1.20902461731527,-0.75347074902586
ORR1A1-int,0.164382431341619,1.53022271045479,1.79584267691284,2.17308662482255,1.81053319822265
RSINE1,0.0852048424237295,0.143436336984156,0.0674046741419257,-0.316444613035407,-0.00740573910256836
MT2B2,0.11540835353305,0.975440196288272,1.83481927893231,1.76409949102743,1.21745781674488
RLTR1B,0.0107638980826228,-0.0800729964640081,1.20955689185249,2.22145807677169,2.2132609337935
Lx2,-0.1378251909816,-0.412003719703493,-0.936092639086432,-1.54500415346923,-0.855170138554921
ERVB7_1-LTR_MM,0.00710927665125807,0.934125406334127,2.14422919237681,2.93163529784284,2.44567663310041
L1Md_A,-0.112057836954204,-0.495224731324763,-0.142737533310752,-0.116912503304731,-0.397119386008098
Lx3A,-0.090147231793551,-0.40210452605877,-1.03504860463919,-1.9146654119749,-1.06617167668171
Lx5,-0.114854942701135,-0.351770808157441,-0.823870517415362,-1.36304536229305,-0.863829318493453
MERVL-int,0.6640413723622,1.62861821812284,1.4110354554815,1.33211741053442,1.33887834061191
MMERVK10C-int,-0.783374444850342,-1.68508071710336,-0.541770149795171,-0.510799662819033,-0.13308305508984
