,id,M,A,stage,zscore,p.value,fdr
199,MLTR18D_MM,0.108637709771362,12.2517367372621,oocyte,4.38977905270228,1.13465888313015e-05,2.73363617101005e-05
200,RLTR41C,0.237508801647729,9.96399601340693,oocyte,4.34287925546611,1.40627431804021e-05,3.36975166775672e-05
201,RLTR44E,0.226580063411281,10.0691359000861,oocyte,4.29680209995339,1.73279762820377e-05,4.10788557726173e-05
202,LTR86C,0.37298393329052,8.60728288631802,oocyte,4.26165821889587,2.02915615015535e-05,4.77227464943944e-05
203,MER21B,0.0766804114337531,13.1469670811259,oocyte,4.22589621160318,2.37991672214817e-05,5.5386020052087e-05
204,RLTR16,0.0772312676226565,13.1232029207514,oocyte,4.22133431152324,2.42860435224733e-05,5.62247205507259e-05
205,MLT1E2,0.0752310972518735,13.1688240077371,oocyte,4.17755778948493,2.94655814314343e-05,6.76870849936565e-05
206,ERVL-B4-int,0.0797495772314369,12.9986832821956,oocyte,4.17482424198373,2.98216199206146e-05,6.82821740319545e-05
207,ERVB7_4-LTR_MM,0.203959805197974,10.2452305771029,oocyte,4.11125131217342,3.93520582068211e-05,8.94730939791917e-05
208,LTRIS5,0.322724779210981,8.91514308889808,oocyte,4.10259809203269,4.08536559403077e-05,9.26502554360551e-05
209,RLTR17D_Mm,0.0796641000809309,12.9462963282795,oocyte,4.09529865241522,4.21624520411162e-05,9.53751141591661e-05
210,MLT2B4,0.0742047475941811,13.1381021636409,oocyte,4.07691284119561,4.5637589879647e-05,0.000101429543507515
211,RLTR50B,0.12153921190181,11.659462108266,oocyte,3.99964819475591,6.34367143008938e-05,0.000140636506268066
212,MER92D,0.391231731260112,8.28040523436397,oocyte,3.99137075250399,6.56924872440847e-05,0.000145275177014904
213,MRLTR33,0.12229970983918,11.6215438347197,oocyte,3.97212584884371,7.12340672408019e-05,0.000156228482913533
214,RLTR20A,0.166352792104263,10.7317863826784,oocyte,3.96914148954096,7.21320437440825e-05,0.000157556233141252
215,PB1,0.0349597653286661,15.2292817557771,oocyte,3.96652014499982,7.2929614138098e-05,0.000158519381341734
216,RLTR23,0.0668980208184757,13.3500234281405,oocyte,3.95566430506195,7.63222712743379e-05,0.000165489022348504
217,MLT1F1,0.0749468376439989,13.0106299626558,oocyte,3.93968689986278,8.15880195735812e-05,0.000176476275914632
218,MLT2E,0.251205665549757,9.4655995960557,oocyte,3.86464388294437,0.00011125139460939,0.000236608827291262
219,MER73,0.255092771540774,9.40525443847259,oocyte,3.84321930659871,0.0001214308668769,0.000257642101798481
220,MER31A,0.105785378668703,11.8894783552441,oocyte,3.7701226721709,0.000163167325371343,0.000342921400130316
221,MamGypLTR2b,0.329946127270405,8.59657977914415,oocyte,3.75595630248582,0.000172680824030407,0.000361207653089487
222,RLTR24B_MM,0.129808912051205,11.2614334594664,oocyte,3.7213081457341,0.000198193412916651,0.000412632187547782
223,RMER16_Mm,0.121039733514264,11.4560451124286,oocyte,3.71204570662653,0.000205590848967136,0.000427033328812579
224,MER92B,0.179854076054159,10.3059793224723,oocyte,3.7024879297097,0.000213495520846473,0.000440365471073119
225,MamGypsy2-I,0.145748362994376,10.8596363314483,oocyte,3.63508450181236,0.000277889534516861,0.000570539945001129
226,RLTR15,0.0542754936508645,13.6816365815053,oocyte,3.6003100328265,0.000317837972610946,0.00065105520196113
227,MER67B,0.177974876592798,10.2322290020688,oocyte,3.57133948684456,0.000355160183404992,0.00072583311045296
228,LTR85a,0.192843891411879,9.99600307720958,oocyte,3.56550967300287,0.000363149766818161,0.000738764628607197
229,RLTR20B2,0.0847350456165655,12.3488537119088,oocyte,3.5411543274487,0.000398380487767796,0.000806743174545718
230,RLTR50A,0.268628823561483,9.01810022407458,oocyte,3.53896357053982,0.000401701284241542,0.000809778779344062
231,L1ME4b,0.0718550937934922,12.7835286890665,oocyte,3.49121138041064,0.000480835666686909,0.000964927556850252
232,LTR41B,0.164100870795704,10.3968580077135,oocyte,3.48628897173162,0.000489771632972421,0.000980646355208294
233,MLTR73,0.0906120243062057,12.1036081705618,oocyte,3.47815785307365,0.000504872514765747,0.00100861048455449
234,MLT1H1-int,0.368405266014681,8.0327501419115,oocyte,3.44935354610091,0.00056193045359277,0.00112008110592819
235,RLTR16B_MM,0.0870448399253972,12.1889846300105,oocyte,3.44158606436642,0.000578314468796348,0.00114759277401775
236,MLT2B3,0.0603501819025911,13.2421585438999,oocyte,3.43751548547864,0.000587077149366385,0.00115980352397048
237,RLTR30B_MM,0.128826109141755,11.0460959646221,oocyte,3.42753044637971,0.000609097997434241,0.00120063884638368
238,MLT1N2-int,1.4350572561666,4.07487355975234,oocyte,3.40847225086693,0.000653277290653134,0.00128487502520052
239,LTR45C,0.582331215685473,6.58182483800791,oocyte,3.29757645895364,0.000975231186859876,0.00189711274642982
240,RLTR26B_MM,0.0901808271588851,11.9609572328813,oocyte,3.29460931984336,0.00098558600159248,0.00191306977165003
241,SRV_MM-int,0.142972002119383,10.62950610333,oocyte,3.29247152003075,0.000993109556308336,0.00192347362866691
242,X8_LINE,0.308377539590493,8.38107421140086,oocyte,3.25778989855127,0.00112283505087375,0.00217000078310166
243,ERV3-16A3_LTR,0.137706999851658,10.6777562048791,oocyte,3.2247032265227,0.00126103317761825,0.00242129264557802
244,MER72,0.981977631678551,5.00140750780353,oocyte,3.21550715876653,0.00130214247001711,0.00249483762035606
245,RMER6BA,0.0807410966898683,12.1984623483604,oocyte,3.20285282355625,0.00136073502974992,0.00259034998168667
246,RLTR30C_MM,0.192776855524669,9.68493922815807,oocyte,3.19999711879452,0.00137428961399102,0.00261056296332909
247,LTR80B,0.253816198526046,8.88086326023092,oocyte,3.18849908017494,0.00143013464924233,0.00271085224557875
248,LTR82A,0.13665527364047,10.6459585561994,oocyte,3.16500121423803,0.00155082303931789,0.00292540863114179
249,RLTR13D4,0.120335981476194,11.002255462325,oocyte,3.15336235669553,0.00161401323294787,0.00303352592831006
250,ORR1G,0.0366301348231296,14.4306952995444,oocyte,3.15047655507495,0.00163004338765768,0.00305719107938329
251,MLT1D,0.0265131155066432,15.3357676563578,oocyte,3.12139279732286,0.00179997769988022,0.00336880036882846
252,MER52-int,0.155347432072447,10.2305873284782,oocyte,3.11551185819521,0.00183625965464158,0.00342948494322766
253,MER50-int,0.659056617121772,6.04983827742982,oocyte,3.10366889409061,0.00191137105738185,0.00355896034557828
254,HERV16-int,0.135290623679967,10.6181361734948,oocyte,3.10332530475431,0.00191359172686886,0.00355896034557828
255,MER34,0.0975545290399428,11.5521512434286,oocyte,3.0931390275467,0.00198051329223496,0.00367573343798931
256,LTR103_Mam,0.323889508088057,8.08859296104028,oocyte,3.09181862083092,0.00198934361631903,0.00368443015605754
257,MLT1H,0.0486960464181003,13.5224412910208,oocyte,3.0567490668318,0.00223751503496619,0.00412686901677373
258,MTE2b,0.0195062840008123,16.1398127713869,oocyte,3.03584811840222,0.00239860155463792,0.00441481735418864
259,RLTR1E_MM,0.257850271875259,8.67295381758435,oocyte,3.01398205192541,0.00257843059168557,0.00473600164464561
260,MLTR18_MM,0.0942704254866355,11.5617224007839,oocyte,2.99894293202792,0.00270918046359968,0.00496589986008271
261,LTR102_Mam,0.155111430079026,10.1195568356119,oocyte,2.99334524457129,0.0027593740973115,0.00504333805272138
262,LTR85b,0.214499033088344,9.16078791570787,oocyte,2.96910667949667,0.00298666889530661,0.00542975183625271
263,RLTR12E,0.0765057744401629,12.1138373105761,oocyte,2.94711789652363,0.00320750887437573,0.0058074855179634
264,MT2C_Mm,0.0424402142195273,13.8117822995427,oocyte,2.94517075196322,0.00322776477057096,0.00583228227853168
