,id,M,A,stage,zscore,p.value,fdr
1,B1_Mus1,0.953035225169434,17.1909676917439,2cell,217.415342572562,0,0
2,B1_Mus2,1.12662872521329,16.6997934598628,2cell,216.491009306374,0,0
3,MERVL-int,1.62861821812284,15.5467604585714,2cell,209.472688978317,0,0
4,B1_Mm,1.08065796275811,15.8486777864967,2cell,154.380276910236,0,0
5,MT2_Mm,2.1215085639966,13.4140846251032,2cell,130.15136645147,0,0
6,B2_Mm2,0.525742457516797,17.3149049584208,2cell,125.254522447417,0,0
7,B1_Mur4,0.791381645134072,16.1057602465373,2cell,123.635101857389,0,0
8,ID_B1,0.44426240411601,17.7172264356117,2cell,121.881710483223,0,0
9,B1_Mur3,0.754113310398776,15.4347960406569,2cell,93.291816980765,0,0
10,B1_Mur2,0.624402814978251,15.7978881901999,2cell,87.6386937265856,0,0
11,B1_Mur1,0.552280614672488,16.0713992119062,2cell,85.255233688919,0,0
12,RMER6A,1.0410557965816,14.2445389482541,2cell,85.1902025088635,0,0
13,ORR1A1-int,1.53022271045479,13.1234700881436,2cell,84.8769147511855,0,0
14,ORR1A0-int,1.78319968800446,12.6211801306692,2cell,83.0992258256668,0,0
15,MT2C_Mm,1.66422806913784,12.8191375483588,2cell,83.0649930825627,0,0
16,B2_Mm1t,0.669987848243866,15.3845635252153,2cell,81.4502484464004,0,0
17,PB1D9,0.633478941889858,15.4361055537442,2cell,78.4037398410776,0,0
18,B3,0.243348190579525,18.1733162883928,2cell,78.394406029049,0,0
19,B2_Mm1a,0.706468631410641,14.9468341902685,2cell,73.7701435823373,0,0
20,MT2B,0.736039256756524,14.5715096492124,2cell,67.4680243430556,0,0
21,PB1D10,0.327086299966105,16.6944322281513,2cell,62.7348749636726,0,0
22,ORR1A2-int,0.800987050311564,13.8819849318532,2cell,57.7979561826607,0,0
23,B1F,0.350159215553297,16.2567176976832,2cell,57.6566279339595,0,0
24,MT2B2,0.975440196288272,13.1380707240497,2cell,54.3794038352347,0,0
25,RMER17B,0.67675388748478,14.1766807135272,2cell,54.0904448860767,0,0
26,PB1D7,0.433387288390722,15.3350796856565,2cell,51.7885664099573,0,0
27,RMER10A,0.677799353712692,13.9019941100188,2cell,49.2495985011677,0,0
28,B1F2,0.469644710440188,14.835079011843,2cell,47.174163693111,0,0
29,RMER17C,0.577775595034656,14.2258219346347,2cell,46.9736419001379,0,0
30,RLTRETN_Mm,1.05292727939442,12.3209191585328,2cell,44.2166116552472,0,0
31,B1F1,0.402209321247109,15.0865092869446,2cell,44.086631335959,0,0
32,ORR1A3-int,0.792704346203413,12.9723769382831,2cell,41.7246111183539,0,0
33,RSINE1,0.143436336984156,17.6693279034916,2cell,38.6947043871766,0,0
34,ORR1A2,0.26629333299133,15.4466073102,2cell,33.0788183829382,5.99372558686863e-240,7.10456272896828e-239
35,PB1,0.39164035584275,14.3045909704237,2cell,32.7229965698028,7.35546402590479e-235,8.60395726188074e-234
36,RMER10B,0.606821068359324,13.0283371504652,2cell,32.5663355940842,1.22951947726383e-232,1.41953612375005e-231
37,ID4,0.294411480512842,15.1013397963631,2cell,32.4374457981968,8.14299892588469e-231,9.28093082706601e-230
38,ORR1A0,0.636896556748106,12.8385490074674,2cell,32.0034753312832,9.7553851081079e-225,1.07068362482814e-223
39,PB1D11,0.310267454511258,14.7939973661392,2cell,30.7239034225548,2.72946220517203e-207,2.92348421734691e-206
40,RMER13B,0.442838602731406,13.7017892657028,2cell,30.0183025539036,5.66268961382103e-198,5.99301317462725e-197
41,B3A,0.121853752121548,17.4099124001482,2cell,30.0131911270293,6.60278933818972e-198,6.90574084900078e-197
