,id,M,A,stage,zscore,p.value,fdr
1,B1_Mus2,1.52079135964689,17.6779242805916,4cell,355.275497125493,0,0
2,B1_Mus1,1.08360342774337,18.0435890204762,4cell,287.735641899404,0,0
3,B1_Mm,1.62636769152625,16.8180168103514,4cell,281.430251000329,0,0
4,MT2_Mm,2.54516940501319,14.5937653464113,4cell,203.332605751017,0,0
5,MERVL-int,1.4110354554815,16.1965790262217,4cell,196.681109779829,0,0
6,B1_Mur4,1.03679594410821,16.8087905174193,4cell,178.833754533742,0,0
7,PB1D9,1.2191489514827,16.1113590948291,4cell,164.973024626856,0,0
8,MT2C_Mm,2.422899975126,13.9393890014931,4cell,154.25716065761,0,0
9,B1_Mur2,0.983596905256294,16.4082823013791,4cell,147.577885218954,0,0
10,B1_Mur3,1.07630885507821,16.1261888409279,4cell,146.397026692945,0,0
11,RLTR45-int,2.19862878073385,13.921322131086,4cell,139.104293482475,0,0
12,B1_Mur1,0.840877495271572,16.6160077569148,4cell,135.62291993448,0,0
13,MT2B,1.27314447578251,15.3840885830893,4cell,133.812821035633,0,0
14,ORR1A2-int,1.41892919911844,14.8418209432962,4cell,123.54692334044,0,0
15,MT2B2,1.83481927893231,14.0845361420194,4cell,122.847411875055,0,0
16,L1Md_T,0.321416880622239,19.0491525189327,4cell,121.679765484981,0,0
17,B2_Mm2,0.497847364175678,17.7744799507594,4cell,120.300170641242,0,0
18,ORR1A1-int,1.79584267691284,14.039026751978,4cell,118.35482087316,0,0
19,PB1D7,0.941425435215771,15.7908859011882,4cell,113.964527215168,0,0
20,RLTR13B2,3.18871481714994,12.2523447373704,4cell,113.108583895152,0,0
21,PB1D10,0.60391442752651,17.0410495947404,4cell,112.949560607642,0,0
22,ID_B1,0.391173149876031,18.1709037033094,4cell,108.617184556592,0,0
23,B2_Mm1t,0.8668969754185,15.8826662548384,4cell,108.343179919376,0,0
24,RLTR13C2,2.15822189430108,13.1606489063982,4cell,104.889169813615,0,0
25,L1Md_Gf,1.3361412570517,14.5001485589011,4cell,103.332509816815,0,0
26,RMER6A,1.16555797281322,14.8693171686518,4cell,102.458770221217,0,0
27,B1F,0.59285786071505,16.6195554679672,4cell,95.7386551998477,0,0
28,B2_Mm1a,0.844038567915643,15.5475901598484,4cell,93.8947600420386,0,0
29,RLTR45,1.60718414686572,13.4559190746776,4cell,86.5292316897714,0,0
30,B1F1,0.7847234855071,15.4927106508918,4cell,85.6482018985497,0,0
31,B1F2,0.810723641790361,15.2759712674938,4cell,82.0710077989798,0,0
32,ORR1A3-int,1.31119331831015,13.7553949088706,4cell,78.3185345189241,0,0
33,RLTR13B1,1.69917083865521,12.9958230584705,4cell,77.9925823913566,0,0
34,ORR1A0-int,1.54148660587526,13.2506014939785,4cell,77.2892702245227,0,0
35,ID4,0.753211940536322,15.3118893912082,4cell,77.2058135845003,0,0
36,ERVB7_1-LTR_MM,2.14422919237681,12.2948564576,4cell,77.1882417743483,0,0
37,ID4_,0.707818595569409,15.3892631931942,4cell,74.5284940449657,0,0
38,RLTRETN_Mm,1.55219688124324,13.0362296742894,4cell,72.2515387530762,0,0
39,PB1D11,0.740687924052685,15.1218041158167,4cell,71.073692826208,0,0
40,RLTR4_MM-int,1.16345899906224,13.4361677908096,4cell,62.2119697470405,0,0
41,RLTR9E,1.30366334518502,13.0017674591347,4cell,59.9620891642143,0,0
42,ORR1A0,1.03299108634999,13.5188618408692,4cell,56.8424052819514,0,0
43,PB1,0.663301272257808,14.6361323191862,4cell,53.7755847664893,0,0
44,IAPLTR2a2_Mm,1.02796437572718,13.1754190129321,4cell,50.2153680389803,0,0
45,RLTR1B,1.20955689185249,12.6952125797028,4cell,50.024337734586,0,0
46,RMER16_Mm,1.76296197348241,11.5110469000621,4cell,48.3645865475253,0,0
47,ORR1A4-int,0.795616546901046,13.8060048381052,4cell,48.3641934403949,0,0
48,ERVB4_2-LTR_MM,2.46296795708273,10.4143680902666,4cell,46.2020984579213,0,0
49,IAPEY_LTR,1.31107066065452,12.1468121582028,4cell,44.8351295074978,0,0
50,IAPLTR1_Mm,0.962633614350933,13.0350974134859,4cell,44.791007497265,0,0
51,ID,0.746552669745923,13.7306923690443,4cell,44.2117707802468,0,0
52,RLTR6_Mm,1.71338622800738,11.3163494200829,4cell,43.9370973097351,0,0
53,RMER16A2,2.0976067283655,10.676517938585,4cell,43.0910536455778,0,0
54,RLTR4_Mm,1.73039800383026,11.2284451461715,4cell,43.0417311259758,0,0
55,RMER6B,1.00073815163067,12.5697307104828,4cell,39.6262770748075,0,0
56,MMERGLN_LTR,1.44249113491047,11.4992167098512,4cell,39.4109439102542,0,0
57,RLTR9D,1.10408148572912,12.119224383106,4cell,37.397300552788,4.32274455067293e-306,3.62539613730966e-305
58,ORR1A1,0.503528529216198,14.2278394559221,4cell,35.4310160674667,5.68753439370644e-275,4.63873217982113e-274
59,MIR3,0.407788360139154,14.8307770518842,4cell,35.3705326876691,4.84795049642794e-274,3.91802544665858e-273
60,MIRc,0.344496470966014,15.3030863856952,4cell,35.203853913201,1.74567768161345e-271,1.38563165978067e-270
61,IAPLTR2_Mm,0.762669897251985,12.9920787213024,4cell,34.9614210054891,8.68391574091148e-268,6.83185937492948e-267
62,MMETn-int,0.564012268662809,13.7727485243827,4cell,33.8922163684625,8.67489168648434e-252,6.70606844285616e-251
63,RMER16,1.26251363202586,11.358811648099,4cell,32.8551990888955,9.60023763341373e-237,7.11217604675401e-236
64,ORR1A2,0.252189266032554,15.8998313246197,4cell,31.7067173494234,1.25538933946719e-220,8.85746922846292e-220
65,RMER6BA,0.994718648087059,11.8300702152744,4cell,30.4796204600389,4.85400486252707e-204,3.371258064677e-203
66,ID2,0.601474699571697,13.1660419783109,4cell,29.2862649466994,1.55157056154132e-188,1.04495926455321e-187
67,RLTR13C3,1.13480857494868,11.3126736072267,4cell,29.0633298891683,1.04416872360286e-185,6.97944357355594e-185
68,ERVB4_2-I_MM,0.715304435994447,12.5980495539651,4cell,28.6033767520138,6.09946611870363e-180,3.95797472958214e-179
69,RLTR1B-int,0.606436385942839,12.9809942614378,4cell,27.692919488417,8.49704086979366e-169,5.43443836924213e-168
70,RLTR13D4,1.29918396700385,10.7568536793966,4cell,27.4426682873443,8.49850457216886e-166,5.39655040332723e-165
71,MIRb,0.184888474451865,16.3143332140213,4cell,26.8485072210309,8.77999400518213e-159,5.45833193748735e-158
72,MIR,0.197981360071778,16.1157700000854,4cell,26.8315940932751,1.38329487687631e-158,8.53992462182669e-158
73,RLTR17,0.481677760226729,13.4328203236013,4cell,25.7261840247498,5.95568007224379e-146,3.55342253974814e-145
74,IAPLTR2b,0.707166491049706,12.2512969783768,4cell,25.0751662555166,9.28214897972017e-139,5.42883581774423e-138
75,RLTR27,0.761874371834858,12.0330784365137,4cell,25.0468865117062,1.88768700737097e-138,1.09683251604758e-137
76,MIR1_Amn,0.505233922286928,13.1838408707591,4cell,24.7525089551719,2.91332199490638e-135,1.66022003427677e-134
77,ERVB7_2B-LTR_MM,0.949483316111169,11.3099519109203,4cell,24.2940766978095,2.26430904878608e-130,1.25810671523177e-129
78,RLTR33,0.489098294009288,13.2077379109188,4cell,24.1613521125989,5.67322436217805e-129,3.11326941850388e-128
79,MT2B1,0.313162170934976,14.4702467245774,4cell,23.9689293618842,5.86637322397928e-127,3.19951275835434e-126
80,RLTR25A,0.541856279634709,12.8604358779607,4cell,23.7309708299082,1.72758252967082e-124,9.36476139559363e-124
81,ORR1B1-int,0.352536833569845,14.0171924087228,4cell,23.0586208104054,1.20533313178431e-117,6.45506719371234e-117
82,MMERVK9C_I-int,0.369714903030381,13.7669311324873,4cell,22.1718651286779,6.41946015905855e-109,3.31796516360643e-108
83,RLTR48B,1.66908520553218,9.37159378049427,4cell,21.8133064784234,1.73474906914533e-105,8.91440417612829e-105
84,MLTR25A,0.392195788449888,13.4251319597947,4cell,20.8912257346171,6.43465869747114e-97,3.21371437193924e-96
85,IAPEY2_LTR,0.554782903722141,12.341097022791,4cell,20.2938520877733,1.45718178092983e-91,7.23706482260681e-91
86,RLTR19,0.566155020227083,12.172856652606,4cell,19.5365816276034,5.36576496792704e-85,2.56460486907911e-84
87,ETnERV3-int,0.487857042708769,12.5675849483054,4cell,19.3033345357053,5.0352615728379e-83,2.39376873703363e-82
88,RLTR10F,0.799027265184601,11.1012400931324,4cell,19.0176610367808,1.2179708938161e-80,5.6689849455629e-80
89,RLTR10E,1.07664716786454,10.1871764312268,4cell,18.6671781459696,9.15646048457515e-78,4.174406856814e-77
90,RLTR47_MM,2.23261865981592,8.03558451695485,4cell,18.3638718998544,2.55708040892675e-75,1.14233391132456e-74
91,IAPEY4_LTR,1.48109371944315,9.19135422574148,4cell,18.1842765452756,6.87567516739469e-74,3.04103244965865e-73
92,RLTR10C,0.360984980465457,13.2534550946642,4cell,18.1175004017787,2.31893501143096e-73,1.02056100255551e-72
93,RSINE1,0.0674046741419257,18.0497404743878,4cell,17.9370269186541,6.06125299102291e-72,2.65441079262038e-71
94,IAPLTR2a,0.571981245412291,11.8946164663845,4cell,17.9228829973298,7.81699668700035e-72,3.40652453663888e-71
95,LTRIS4,1.15443574683934,9.81804322737031,4cell,17.6121515653046,1.98744782807657e-69,8.53546434376845e-69
96,RLTR13B3,0.683641701194878,11.2751003701666,4cell,17.2820533919397,6.42204087091746e-67,2.74480496838732e-66
